Snapshot Month,Customer ID,Customer Age,Gender,Education_Level,Marital Status,Income Category,Month on Book,Credit_Limit,Revolving_Bal,Utilization
12/31/2013,768805383,45,M,High School,Married,$60K - $80K,41,12700,777,0.061
12/31/2013,818770008,49,F,Graduate,Single,Less than $40K,7,8300,864,0.105
12/31/2013,713982108,51,M,Graduate,Married,$80K - $120K,12,3400,0,0
12/31/2013,769911858,40,F,High School,Unknown,Less than $40K,26,3300,2517,0.76
12/31/2013,709106358,40,M,Uneducated,Married,$60K - $80K,50,4700,0,0
12/31/2013,713061558,44,M,Graduate,Married,$40K - $60K,7,4000,1247,0.311
12/31/2013,810347208,51,M,Unknown,Married,$120K +,15,34500,2264,0.066
12/31/2013,818906208,32,M,High School,Unknown,$60K - $80K,21,29100,1396,0.048
12/31/2013,710930508,37,M,Uneducated,Single,$60K - $80K,49,22400,2517,0.113
12/31/2013,719661558,48,M,Graduate,Single,$80K - $120K,20,11700,1677,0.144
12/31/2013,708790833,42,M,Uneducated,Unknown,$120K +,22,6700,1467,0.217
12/31/2013,710821833,65,M,Unknown,Married,$40K - $60K,16,9100,1587,0.174
12/31/2013,710599683,56,M,College,Single,$80K - $120K,17,11800,0,0
12/31/2013,816082233,35,M,Graduate,Unknown,$60K - $80K,9,8500,1666,0.195
12/31/2013,712396908,57,F,Graduate,Married,Less than $40K,5,2400,680,0.279
12/31/2013,714885258,44,M,Unknown,Unknown,$80K - $120K,32,4200,972,0.23
12/31/2013,709967358,48,M,Post-Graduate,Single,$80K - $120K,35,30400,2362,0.078
12/31/2013,753327333,41,M,Unknown,Married,$80K - $120K,50,13500,1291,0.095
12/31/2013,806160108,61,M,High School,Married,$40K - $60K,46,3200,2517,0.788
12/31/2013,709327383,45,F,Graduate,Married,Unknown,27,14500,1157,0.08
12/31/2013,806165208,47,M,Doctorate,Divorced,$60K - $80K,46,21000,1800,0.086
12/31/2013,708508758,62,F,Graduate,Married,Less than $40K,33,1400,0,0
12/31/2013,784725333,41,M,High School,Married,$40K - $60K,8,4500,680,0.152
12/31/2013,811604133,47,F,Unknown,Single,Less than $40K,26,2500,1560,0.626
12/31/2013,789124683,54,M,Unknown,Married,$80K - $120K,9,12200,0,0
12/31/2013,771071958,41,F,Graduate,Single,Less than $40K,29,7800,1669,0.215
12/31/2013,720466383,59,M,High School,Unknown,$40K - $60K,36,14800,1374,0.093
12/31/2013,804424383,63,M,Unknown,Married,$60K - $80K,1,10200,1010,0.099
12/31/2013,718813833,44,F,Uneducated,Single,Unknown,48,10100,0,0
12/31/2013,806624208,47,M,High School,Married,$40K - $60K,30,4800,1362,0.285
12/31/2013,778348233,53,M,Unknown,Married,$80K - $120K,49,2800,1811,0.658
12/31/2013,712991808,53,M,Uneducated,Married,$60K - $80K,28,2500,1690,0.69
12/31/2013,709029408,41,M,Graduate,Married,$60K - $80K,9,8900,2517,0.282
12/31/2013,788658483,53,F,College,Married,Less than $40K,19,2700,1490,0.562
12/31/2013,787937058,58,M,Graduate,Married,$80K - $120K,18,12600,1696,0.135
12/31/2013,715318008,55,F,College,Single,Less than $40K,50,3500,1914,0.544
12/31/2013,713962233,55,F,Graduate,Married,Less than $40K,39,3000,2298,0.757
12/31/2013,785432733,42,F,High School,Married,Less than $40K,20,15400,0,0
12/31/2013,715190283,57,F,Graduate,Unknown,$40K - $60K,4,3700,886,0.241
12/31/2013,708300483,66,F,Doctorate,Married,Unknown,34,7900,605,0.077
12/31/2013,827111283,45,M,Graduate,Single,$80K - $120K,45,32400,578,0.018
12/31/2013,758551608,51,M,Unknown,Married,$40K - $60K,9,6200,2204,0.355
12/31/2013,773146383,50,F,College,Single,$40K - $60K,25,17300,2517,0.145
12/31/2013,778493808,49,M,High School,Married,$60K - $80K,43,3900,0,0
12/31/2013,720572508,38,F,Graduate,Single,Unknown,45,9800,2055,0.209
12/31/2013,712661433,49,M,Uneducated,Single,$80K - $120K,10,34500,0,0
12/31/2013,789172683,56,M,Doctorate,Married,$60K - $80K,1,2300,1430,0.626
12/31/2013,738406533,59,M,Doctorate,Married,$40K - $60K,23,2500,2020,0.793
12/31/2013,799723908,46,M,High School,Married,$80K - $120K,36,19500,1435,0.074
12/31/2013,771490833,52,M,College,Single,$80K - $120K,25,4700,1227,0.259
12/31/2013,720756708,52,F,Unknown,Married,Less than $40K,41,2600,1549,0.591
12/31/2013,779471883,54,F,Graduate,Married,Less than $40K,26,1400,808,0.562
12/31/2013,711525033,66,F,High School,Married,Less than $40K,39,3200,2179,0.687
12/31/2013,712813458,49,M,Unknown,Married,$120K +,26,19800,2517,0.127
12/31/2013,714374133,56,M,Graduate,Married,$120K +,13,15800,0,0
12/31/2013,717891558,49,F,Graduate,Unknown,Less than $40K,35,3300,2200,0.667
12/31/2013,716632758,49,F,Graduate,Single,Less than $40K,3,2800,2363,0.843
12/31/2013,768563658,56,M,Uneducated,Married,$40K - $60K,29,4500,1880,0.422
12/31/2013,711427458,44,F,Graduate,Married,Unknown,40,6300,978,0.156
12/31/2013,714091983,42,M,High School,Single,$60K - $80K,24,3300,1753,0.525
12/31/2013,787584108,55,M,Unknown,Married,$80K - $120K,19,3400,2016,0.587
12/31/2013,712030833,48,M,Graduate,Married,$60K - $80K,1,34500,0,0
12/31/2013,711481533,39,M,High School,Divorced,$60K - $80K,34,5900,1251,0.211
12/31/2013,710082708,44,M,Post-Graduate,Single,$120K +,49,24000,2102,0.088
12/31/2013,708155733,53,M,High School,Single,$120K +,46,14700,1634,0.111
12/31/2013,788979258,51,M,Uneducated,Single,$80K - $120K,28,34500,1515,0.044
12/31/2013,807986133,57,M,College,Married,$60K - $80K,14,6600,1817,0.276
12/31/2013,788730933,44,F,Uneducated,Single,Less than $40K,28,2100,1468,0.704
12/31/2013,711314058,49,M,Graduate,Married,$60K - $80K,5,1700,1107,0.656
12/31/2013,717975333,50,M,Doctorate,Married,$80K - $120K,17,25300,1330,0.053
12/31/2013,715971108,51,M,Graduate,Single,$120K +,50,34500,1763,0.051
12/31/2013,720096558,55,F,Graduate,Married,Less than $40K,14,2200,1034,0.467
12/31/2013,719580033,54,M,Graduate,Unknown,$60K - $80K,31,2900,2030,0.698
12/31/2013,820582308,42,M,Uneducated,Married,$80K - $120K,16,22900,1528,0.067
12/31/2013,789973308,44,M,College,Single,$60K - $80K,19,24300,1932,0.079
12/31/2013,712876233,53,M,Graduate,Single,$80K - $120K,20,5300,1515,0.287
12/31/2013,804595158,44,F,Graduate,Single,Less than $40K,34,7000,2517,0.36
12/31/2013,714826758,37,F,Uneducated,Single,Less than $40K,24,7000,1801,0.256
12/31/2013,779058108,49,M,Graduate,Divorced,$60K - $80K,6,2500,1823,0.719
12/31/2013,710790258,47,M,Graduate,Married,$80K - $120K,14,28900,1899,0.066
12/31/2013,715623483,47,M,Graduate,Married,$60K - $80K,44,8600,1695,0.198
12/31/2013,715156383,44,M,Unknown,Unknown,$120K +,45,34500,1533,0.044
12/31/2013,711013983,55,F,Unknown,Married,$40K - $60K,35,2200,0,0
12/31/2013,755420433,59,F,Graduate,Married,Unknown,44,10100,1417,0.14
12/31/2013,794543958,53,M,Graduate,Divorced,$80K - $120K,21,34500,1219,0.035
12/31/2013,716396358,52,M,Graduate,Married,$60K - $80K,15,3100,1910,0.619
12/31/2013,715398033,53,M,High School,Single,$120K +,40,19000,2056,0.108
12/31/2013,711743883,43,F,Uneducated,Single,Less than $40K,2,4000,0,0
12/31/2013,719720058,44,M,High School,Single,$60K - $80K,27,12800,837,0.066
12/31/2013,778992108,57,M,Unknown,Married,$120K +,21,5300,0,0
12/31/2013,717539808,51,F,High School,Single,Less than $40K,11,9900,0,0
12/31/2013,714070758,49,M,High School,Single,$80K - $120K,3,31300,1953,0.062
12/31/2013,714107958,45,M,Graduate,Single,$40K - $60K,22,6600,0,0
12/31/2013,789140283,53,M,Graduate,Single,$80K - $120K,45,2700,2037,0.765
12/31/2013,715550508,45,F,Unknown,Married,Unknown,10,2500,2440,0.963
12/31/2013,719712633,64,M,Graduate,Married,Less than $40K,48,1700,895,0.524
12/31/2013,772629333,45,M,Graduate,Married,$40K - $60K,19,3500,1200,0.347
12/31/2013,720336708,53,M,Doctorate,Married,$40K - $60K,7,3800,1706,0.45
12/31/2013,802013583,56,M,College,Married,$120K +,30,9700,2250,0.232
12/31/2013,711887583,47,M,Unknown,Married,$80K - $120K,10,5400,1628,0.299
12/31/2013,714778833,49,F,College,Single,Unknown,25,23000,1960,0.085
12/31/2013,713843283,41,F,Unknown,Married,Unknown,26,34500,2053,0.059
12/31/2013,779155158,53,M,Graduate,Married,$120K +,1,2900,1264,0.43
12/31/2013,721091583,44,F,Graduate,Single,Less than $40K,41,3000,1879,0.62
12/31/2013,713572683,44,M,High School,Unknown,$60K - $80K,27,1900,0,0
12/31/2013,716657058,43,F,Post-Graduate,Married,Less than $40K,20,8400,926,0.111
12/31/2013,779509983,53,M,Post-Graduate,Single,$120K +,49,34500,931,0.027
12/31/2013,717929133,44,M,Uneducated,Married,$60K - $80K,12,14500,2440,0.169
12/31/2013,808284783,62,F,Unknown,Married,Less than $40K,5,1400,0,0
12/31/2013,708476808,54,M,Unknown,Divorced,$120K +,50,33800,1960,0.058
12/31/2013,710916408,57,M,Graduate,Married,$60K - $80K,43,8500,1886,0.223
12/31/2013,708492558,42,M,Unknown,Married,$60K - $80K,33,15100,865,0.057
12/31/2013,799825758,42,M,High School,Divorced,$60K - $80K,24,3300,1674,0.513
12/31/2013,718619883,54,F,Uneducated,Married,Less than $40K,47,1500,706,0.473
12/31/2013,711844758,48,M,Graduate,Single,$80K - $120K,8,13600,1294,0.095
12/31/2013,714798783,49,M,Graduate,Single,$80K - $120K,42,18900,895,0.047
12/31/2013,826762908,52,M,High School,Unknown,$80K - $120K,44,12000,1273,0.106
12/31/2013,771894558,50,M,High School,Single,$80K - $120K,40,10000,1559,0.156
12/31/2013,721074183,49,M,Doctorate,Married,$60K - $80K,21,24200,1196,0.05
12/31/2013,715259583,53,F,High School,Married,Less than $40K,13,5400,1901,0.355
12/31/2013,718414008,50,M,Graduate,Single,$120K +,38,34500,1023,0.03
12/31/2013,719666283,55,F,Doctorate,Married,Less than $40K,34,3200,1951,0.615
12/31/2013,714877233,53,M,High School,Married,$80K - $120K,7,12300,1836,0.15
12/31/2013,785387883,47,F,High School,Single,$40K - $60K,39,3800,1540,0.407
12/31/2013,771075258,55,M,College,Single,$120K +,31,34500,1527,0.044
12/31/2013,711318033,47,M,Graduate,Single,$60K - $80K,21,2900,0,0
12/31/2013,783554958,58,M,Graduate,Single,$120K +,38,32100,0,0
12/31/2013,720201033,53,M,Graduate,Married,$80K - $120K,45,11700,2227,0.191
12/31/2013,718039683,52,M,High School,Single,$40K - $60K,23,13500,1300,0.096
12/31/2013,710806083,50,F,Uneducated,Unknown,Less than $40K,17,11900,2090,0.176
12/31/2013,714752208,42,F,Graduate,Married,Less than $40K,13,2400,1985,0.83
12/31/2013,822063408,43,M,Unknown,Married,$40K - $60K,19,6100,2517,0.412
12/31/2013,714490308,57,M,Graduate,Married,$80K - $120K,23,19300,1662,0.086
12/31/2013,713356833,52,M,Graduate,Married,$80K - $120K,18,3700,2517,0.678
12/31/2013,711402333,47,M,Doctorate,Single,Less than $40K,19,3200,797,0.246
12/31/2013,708296883,44,F,Graduate,Single,$40K - $60K,37,11700,788,0.067
12/31/2013,719154483,53,M,High School,Divorced,$60K - $80K,21,7800,2100,0.271
12/31/2013,717721458,45,M,College,Divorced,$60K - $80K,44,10400,1186,0.114
12/31/2013,711112683,63,F,College,Married,Unknown,9,4000,1568,0.395
12/31/2013,715674483,39,F,Post-Graduate,Single,Less than $40K,29,6200,2517,0.406
12/31/2013,789322833,48,F,High School,Married,Less than $40K,48,8000,0,0
12/31/2013,789968058,51,M,Unknown,Single,$120K +,13,9000,2327,0.258
12/31/2013,709919283,54,M,Graduate,Married,$80K - $120K,21,14900,2517,0.169
12/31/2013,718744008,59,F,Graduate,Single,Less than $40K,7,6300,1128,0.178
12/31/2013,767712558,59,M,College,Single,$60K - $80K,19,15000,0,0
12/31/2013,712950783,48,F,Uneducated,Married,Less than $40K,23,2700,0,0
12/31/2013,716104983,41,F,Graduate,Single,Less than $40K,6,2300,2117,0.941
12/31/2013,818839983,55,M,Graduate,Married,$120K +,41,10900,1536,0.141
12/31/2013,772288758,47,F,Graduate,Married,Unknown,28,5300,1228,0.23
12/31/2013,712350858,41,M,High School,Married,$80K - $120K,46,9400,1104,0.118
12/31/2013,711009708,40,M,High School,Single,$80K - $120K,13,21600,0,0
12/31/2013,712720158,68,M,Graduate,Married,Unknown,18,13900,1652,0.119
12/31/2013,712215258,50,F,Graduate,Single,$40K - $60K,24,18400,0,0
12/31/2013,773827008,47,M,Uneducated,Single,$60K - $80K,38,2400,1540,0.64
12/31/2013,795232683,53,F,College,Married,Less than $40K,43,2200,930,0.432
12/31/2013,713786508,42,F,Unknown,Married,$40K - $60K,1,2000,0,0
12/31/2013,713539833,48,F,High School,Single,$40K - $60K,25,8100,0,0
12/31/2013,712454058,49,M,Doctorate,Married,$120K +,22,9400,618,0.066
12/31/2013,718759833,44,F,Uneducated,Married,Unknown,7,32600,0,0
12/31/2013,718803333,43,F,Graduate,Divorced,Less than $40K,47,3200,1954,0.612
12/31/2013,720253908,56,M,High School,Married,$80K - $120K,44,2900,1024,0.359
12/31/2013,714133158,59,F,College,Single,Unknown,35,4200,1305,0.309
12/31/2013,713187033,46,M,Uneducated,Married,$60K - $80K,13,20500,2071,0.101
12/31/2013,714791208,47,F,Unknown,Divorced,Less than $40K,18,3500,2114,0.607
12/31/2013,772426383,50,F,Uneducated,Married,$40K - $60K,1,3100,1570,0.512
12/31/2013,710975883,51,F,Uneducated,Married,Less than $40K,9,2200,1761,0.806
12/31/2013,714264408,47,F,Uneducated,Married,Less than $40K,15,1600,746,0.463
12/31/2013,715827858,58,F,Uneducated,Married,Less than $40K,37,2800,2173,0.77
12/31/2013,713741358,46,M,Graduate,Single,$80K - $120K,26,33000,2517,0.076
12/31/2013,709531908,53,M,High School,Married,$60K - $80K,47,1400,0,0
12/31/2013,716493408,45,F,Uneducated,Divorced,Unknown,27,15900,1719,0.108
12/31/2013,714141108,52,F,High School,Married,Less than $40K,31,6700,893,0.133
12/31/2013,708953883,53,M,Unknown,Married,$80K - $120K,4,3200,0,0
12/31/2013,712608783,50,M,High School,Married,$80K - $120K,20,34500,1260,0.037
12/31/2013,820353558,41,F,High School,Married,$40K - $60K,32,9800,1434,0.146
12/31/2013,714964758,45,F,Graduate,Divorced,$40K - $60K,34,10400,1777,0.171
12/31/2013,716264358,53,M,Uneducated,Married,$80K - $120K,46,26800,1836,0.069
12/31/2013,717296808,67,F,Graduate,Married,Less than $40K,26,3000,2517,0.837
